product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,manufacturing_cost,price_to_cost_ratio,estimated_units_sold,brand,brand_tier,category_complexity,price_segment,seasonal_relevance,is_new_release,value_ratio,price_elasticity,category_median_price,price_to_category_median_ratio,brand_avg_price,price_to_brand_avg_ratio,rating_x_count,discount_to_margin_ratio,premium_complexity,Unnamed: 25,Unnamed: 26
"Storite Super Speed USB 3.0 Male to Male Cable for Hard Drive Enclosures, Laptop Cooling Pad, DVD Players(60cm,Black)",Computers,249.0,996.0,75,4.3,112,159.58,1.56,4480,,,,,,,,,949.0,0.2623814541622761,,,481.59999999999997,4.807384142042176,,,
"AmazonBasics Double Braided Nylon USB Type-C to Type-C 2.0 Cable, Charging Adapter, Smartphone 6 feet, Dark Grey",Computers,649.0,1582.93,59,4.3,5451,415.94,1.56,218040,,,,,,,,,949.0,0.6838777660695469,,,23439.3,3.7818088584065124,,,
Firestick Remote,Home Entertainment,1289.0,2478.85,48,3.3,73,828.41,1.56,3650,,,,,,,,,,,,,240.89999999999998,3.076725850906993,,,
"AmazonBasics 10.2 Gbps High-Speed 4K HDMI Cable with Braided Cord (10-Foot, Dark Grey)",Home Entertainment,609.0,1485.37,59,4.5,1029,391.39,1.56,51450,,,,,,,,,,,,,4630.5,3.7818088584065124,,,
"Tuarso 8K HDMI 2.1 Cable 48Gbps , 1.5 Meter High-Speed Braided HDMI Cable ( 8K@60HZ、4K@120HZ、2K@240HZ ) HDMI 2.1 Cable Compatible with Monitors , Television , Laptops , Projectors , Game Consoles and more with HDMI Ports Device",Home Entertainment,599.0,1996.67,70,4.2,47,384.96,1.56,2350,,,,,,,,,,,,,197.4,4.486891865906031,,,
AmazonBasics USB Type-C to Micro-B 2.0 Cable - 6 Inches (15.2 Centimeters) - White,Computers,349.0,894.87,61,4.1,14896,223.67,1.56,595840,,,,,,,,,949.0,0.3677555321390938,,,61073.59999999999,3.9100057688609704,,,
"Smashtronics® - Case for Firetv Remote, Fire Stick Remote Cover Case, Silicone Cover for TV Firestick 4K/TV 2nd Gen(3rd Gen) Remote Control - Light Weight/Anti Slip/Shockproof (Black)",Home Entertainment,199.0,398.0,50,4.2,1335,127.89,1.56,66750,,,,,,,,,,,,,5607.0,3.204922761361451,,,
7SEVEN® Suitable Sony Tv Remote Original Bravia for Smart Android Television Compatible for Any Model of LCD LED OLED UHD 4K Universal Sony Remote Control,Home Entertainment,349.0,698.0,50,3.9,214,224.29,1.56,10700,,,,,,,,,,,,,834.6,3.204922761361451,,,
"PROLEGEND® PL-T002 Universal TV Stand Table Top for Most 22 to 65 inch LCD Flat Screen TV, VESA up to 800 by 400mm",Home Entertainment,1850.0,4512.2,59,4.0,184,1188.96,1.56,9200,,,,,,,,,,,,,736.0,3.7818088584065124,,,
"Lava Charging Adapter Elements D3 2A Fast Charging Speed Usb Type C Data Cable, White",Computers,129.0,444.83,71,3.7,41,82.68,1.56,1640,,,,,,,,,949.0,0.1359325605900948,,,151.70000000000002,4.55099032113326,,,
"TIZUM High Speed HDMI Cable Aura -Gold Plated-High Speed Data 10.2Gbps, 3D, 4K, HD 1080P (10 Ft/ 3 M)",Home Entertainment,379.0,997.37,62,4.2,12153,243.58,1.56,607650,,,,,,,,,,,,,51042.6,3.974104224088199,,,
Technotech High Speed HDMI Cable 5 Meter V1.4 - Supports Full HD 1080p (Color May Vary),Home Entertainment,185.0,500.0,63,4.2,25,118.9,1.56,1250,,,,,,,,,,,,,105.0,4.038202679315428,,,
"NK STAR 950 Mbps USB WiFi Adapter Wireless Network Receiver Dongle for Desktop Laptop, (Support- Windows XP/7/8/10 & MAC OS) NOt Support to DVR and HDTV",Computers,218.0,990.91,78,4.2,163,139.72,1.56,6520,,,,,,,,,949.0,0.2297154899894626,,,684.6,4.999679507723863,,,
"LS LAPSTER Quality Assured USB 2.0 morpho cable, morpho device cable for Mso 1300 E3/E2/E Biometric Finger Print Scanner morpho USB cable (Black)",Computers,199.0,995.0,80,4.3,87,127.54,1.56,3480,,,,,,,,,949.0,0.2096944151738672,,,374.09999999999997,5.127876418178322,,,
"Amazon Basics 10.2 Gbps High-Speed 4K HDMI Cable with Braided Cord, 1.8 Meter, Dark Grey",Home Entertainment,499.0,907.27,45,4.4,2165,320.7,1.56,108250,,,,,,,,,,,,,9526.0,2.8844304852253058,,,
